COMPANION_SEQ,TRAVEL_ID,REL_CD,COMPANION_GENDER,COMPANION_AGE_GRP,COMPANION_SITUATION
1,f_f015367,1,1,4,1
1,f_f015409,1,1,4,1
1,f_f015410,8,2,4,1
7,f_f015448,10,2,7,1
9,f_f015448,10,2,5,1
11,f_f015448,10,2,5,1
13,f_f015448,10,2,6,1
15,f_f015448,10,1,6,1
17,f_f015448,10,1,6,1
2,f_f015448,10,2,6,1
19,f_f015448,10,1,6,1
4,f_f015448,10,2,6,1
6,f_f015448,10,2,7,1
8,f_f015448,10,2,5,1
10,f_f015448,10,2,5,1
12,f_f015448,10,2,6,1
14,f_f015448,10,1,6,1
16,f_f015448,10,1,5,1
1,f_f015448,10,2,6,1
18,f_f015448,10,1,6,1
3,f_f015448,10,2,6,1
20,f_f015448,10,1,6,1
5,f_f015448,10,2,6,1
1,f_f015477,8,2,3,1
2,f_f015529,2,1,2,1
1,f_f015529,1,2,4,1
1,f_f015600,1,1,6,1
1,f_f015610,8,1,3,1
1,f_f015703,1,1,5,1
1,f_f015714,8,1,3,1
1,f_f015740,7,2,4,3
1,f_f015841,8,2,3,3
1,f_f015842,1,1,6,1
1,f_f015905,1,1,5,1
1,f_f015954,8,1,4,1
1,f_f016036,8,1,3,1
1,f_f016094,9,1,5,2
1,f_f016105,3,2,5,1
1,f_f016354,8,1,3,1
1,f_f016357,3,2,6,1
1,f_f016391,3,2,6,1
1,f_f016456,7,2,3,1
1,f_f016457,5,2,6,3
1,f_f016470,2,2,3,1
1,f_f016495,8,2,4,1
2,f_f016634,2,2,4,1
1,f_f016634,1,2,6,1
1,f_f016699,3,2,7,1
1,f_f016739,1,1,6,1
1,f_f016818,8,2,4,1
