TRAVEL_ID,VISIT_AREA_ID,ACTIVITY_TYPE_CD,ACTIVITY_TYPE_SEQ,ACTIVITY_ETC,ACTIVITY_DTL,RSVT_YN,EXPND_SE,ADMISSION_SE
f_f000473,2305270005,3,0,,함안 낙화놀이 체험,Y,5,1
f_f000473,2305280002,3,0,,분노의질주 영화관람,Y,5,2
f_f000473,2305280003,4,0,,,,,
f_f000473,2305280001,4,1,,,,,
f_f000473,2305270004,6,0,,사진촬영 사전미팅,Y,5,
f_f000473,2305280001,6,2,,소리길 등산,N,5,
f_f000473,2305290002,99,0,,,,,
f_f000484,2305230002,1,0,,코바코치즈돈가스;화덕고등어구이,N,1,
f_f000484,2305230004,1,0,,피자;스테이크;파스타;필라프;맥주;에이드,Y,1,
f_f000484,2305230005,1,0,,인절미설빙;망고설빙;딸기설빙,N,1,
f_f000484,2305240002,1,0,,설렁탕;만두국,N,1,
f_f000484,2305240005,1,0,,파스타;스테이크;음료,N,1,
f_f000484,2305250001,1,0,,핫도그;만두;소떡소떡,N,1,
f_f000484,2305260001,1,0,,스낵과자;요쿠르트,N,2,
f_f000484,2305270003,1,0,,스테이크;파스타;피자;맥주 등,Y,1,
f_f000484,2305270006,1,0,,활어회,Y,1;2,
f_f000484,2305280001,1,0,,갈미조개샤브샤브;갈삼구이,Y,1,
f_f000484,2305280002,1,0,,육회;불고기;매운갈비찜;비빔밥;떡볶이,N,1,
f_f000484,2305290003,1,0,,돼지갈비;LA갈비;막국수 등,N,1,
f_f000484,2305290004,1,0,,순대국,N,1,
f_f000484,2305290002,1,1,,아이스크림,N,2,
f_f000484,2305240005,1,2,,케이크;빵,N,2,
f_f000484,2305260002,1,2,,밀면;만두,N,1,
f_f000484,2305290004,1,2,,커피;소떡소떡,N,2,
f_f000484,2305250001,1,4,,굴떡국;불고기육회비빔밥,N,1,
f_f000484,2305260001,1,4,,회,N,2,
f_f000484,2305240003,2,0,,장난감;머리고무줄;옷걸이,N,1,
f_f000484,2305270004,3,0,,돌고래쇼 및 파충류 관람,N,1,2
f_f000484,2305290002,3,0,,바운스트램펄린,N,1,2
f_f000484,2305260001,3,1,,풀앤사우나 워터파크,N,1,2
f_f000484,2305270001,3,1,,바운스트램펄린,Y,1,2
f_f000484,2305250001,3,2,,풀앤사우나 워터파크,N,1,2
f_f000484,2305250002,4,0,,,,,
f_f000484,2305250001,4,1,,,,,
f_f000484,2305260001,4,2,,,,,
f_f000484,2305280002,5,1,,,,,
f_f000484,2305250001,5,3,,,,,
f_f000484,2305260001,5,3,,,,,
f_f000484,2305230002,6,1,,주유,N,1,
f_f000484,2305260002,6,3,,김해공항 배우자 픽업,N,5,
f_f000484,2305290004,6,3,,주유,N,1,
f_f000484,2305290004,7,1,,,,,
f_f000489,2306060005,1,0,,물막국수;비빔국수;메밀찐만두,N,1,
f_f000489,2306060008,1,0,,익은지통삼겹김치찜;공기밥,N,1,
